Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-Aug-19,1280.8,1296.65,1280.55,1292.1,1289.943918,463484,15977,597868367,214562,46.29,16.1,11.3
16-Aug-19,1290.55,1291,1273.2,1277.4,1280.241602,339588,11206,434754685,89721,26.42,17.8,-13.15
14-Aug-19,1298,1304,1280.1,1288.3,1291.503412,785411,24593,1014360986,213399,27.17,23.9,-9.7
13-Aug-19,1240,1302.5,1225.3,1275,1276.539731,2092112,55153,2670664090,489767,23.41,77.2,35
09-Aug-19,1159,1175,1152.7,1162,1165.760952,528918,14494,616591951,120746,22.83,22.3,3
08-Aug-19,1109,1158,1095.65,1151.95,1126.766763,861938,22134,971203090,315781,36.64,62.35,42.95
07-Aug-19,1127.8,1138.4,1103,1109,1119.732006,546804,16020,612273940,129122,23.61,35.4,-18.8
06-Aug-19,1136.8,1149.9,1121.95,1128,1136.447531,433717,14572,492896614,102252,23.58,27.95,-8.8
05-Aug-19,1177.5,1177.5,1129,1143,1143.316935,607913,18720,695037228,164254,27.02,48.5,-34.5
02-Aug-19,1175.5,1198,1162.35,1184.2,1182.507424,523278,14362,618780120,85495,16.34,35.65,8.7
01-Aug-19,1169.8,1188.3,1150.2,1180.55,1165.314029,430950,15545,502192081,103135,23.93,38.1,10.75
31-Jul-19,1177.95,1184.85,1163,1166,1172.999342,363098,12108,425913715,95262,26.24,21.85,-11.95
30-Jul-19,1211.25,1219.9,1175.8,1180.55,1201.482748,413976,13254,497385022,100680,24.32,44.1,-30.7
29-Jul-19,1219.4,1221.5,1205.1,1211.15,1212.390373,416379,15942,504813891,134214,32.23,16.4,-8.25
26-Jul-19,1233.45,1242,1210.05,1214.1,1221.917028,552475,16580,675078610,192889,34.91,31.95,-19.35
25-Jul-19,1267.95,1268.8,1227.15,1232.3,1244.896137,382454,13505,476115507,112450,29.4,41.65,-35.65
24-Jul-19,1274,1279.05,1254.4,1258.8,1260.941336,494832,15224,623954123,262883,53.13,24.65,-15.2
23-Jul-19,1285.7,1294,1261.3,1272.85,1282.551008,425680,15380,545956313,150816,35.43,32.7,-12.85
22-Jul-19,1256.95,1284.55,1227.6,1280.5,1262.310926,585651,21941,739273656,119978,20.49,56.95,23.55
